原形,過去式,過去分詞 p.p.,中文意思,不規則,現在完成式提示,筆記
need,needed,needed,需要,否,have/has needed,
notice,noticed,noticed,注意到,否,have/has noticed,
occur,occured,occured,發生,否,have/has occured,
offer,offered,offered,提供,否,have/has offered,
open,opened,opened,打開,否,have/has opened,
operate,operated,operated,操作；營運,否,have/has operated,
organize,organized,organized,組織；整理,否,have/has organized,
pay,paid,paid,支付,是,have/has paid,
perform,performed,performed,執行；表演,否,have/has performed,
plan,planned,planned,計畫,否,have/has planned,
play,played,played,玩；演奏,否,have/has played,
post,posted,posted,張貼；發布,否,have/has posted,
practice,practiced,practiced,練習,否,have/has practiced,
prefer,preferred,preferred,較喜歡,否,have/has preferred,
prepare,prepared,prepared,準備,否,have/has prepared,
prevent,prevented,prevented,防止,否,have/has prevented,
produce,produced,produced,生產；產生,否,have/has produced,
promise,promised,promised,承諾,否,have/has promised,
protect,protected,protected,保護,否,have/has protected,
provide,provided,provided,提供,否,have/has provided,
publish,published,published,出版；發布,否,have/has published,
put,put,put,放置,是,have/has put,
raise,raised,raised,提高；養育,否,have/has raised,
reach,reached,reached,到達；達成,否,have/has reached,
read,read,read,閱讀,是,have/has read,
realize,realized,realized,了解；實現,否,have/has realized,
receive,received,received,收到,否,have/has received,
recognize,recognized,recognized,認出；承認,否,have/has recognized,
recommend,recommended,recommended,推薦；建議,否,have/has recommended,
record,recorded,recorded,記錄,否,have/has recorded,
reduce,reduced,reduced,減少,否,have/has reduced,
refer,refered,refered,提到；參考,否,have/has refered,
reflect,reflected,reflected,反映；反思,否,have/has reflected,
refuse,refused,refused,拒絕,否,have/has refused,
relax,relaxed,relaxed,放鬆,否,have/has relaxed,
release,released,released,釋放；發布,否,have/has released,
rely,relied,relied,依賴,否,have/has relied,
remain,remained,remained,仍然是；留下,否,have/has remained,
remember,remembered,remembered,記得,否,have/has remembered,
remove,removed,removed,移除,否,have/has removed,
repair,repaired,repaired,修理,否,have/has repaired,
repeat,repeated,repeated,重複,否,have/has repeated,
replace,replaced,replaced,取代；更換,否,have/has replaced,
reply,replied,replied,回覆,否,have/has replied,
report,reported,reported,報告；報導,否,have/has reported,
represent,represented,represented,代表,否,have/has represented,
require,required,required,要求；需要,否,have/has required,
respond,responded,responded,回應,否,have/has responded,
return,returned,returned,返回；歸還,否,have/has returned,
review,reviewed,reviewed,複習；評論,否,have/has reviewed,
ride,rode,ridden,騎；搭乘,是,have/has ridden,
rise,rose,risen,上升,是,have/has risen,
run,ran,run,跑；運作,是,have/has run,
say,said,said,說,是,have/has said,
search,searched,searched,搜尋,否,have/has searched,
see,saw,seen,看見,是,have/has seen,
seem,seemed,seemed,似乎,否,have/has seemed,
select,selected,selected,選擇,否,have/has selected,
sell,sold,sold,販售,是,have/has sold,
send,sent,sent,寄送,是,have/has sent,
serve,served,served,服務；供應,否,have/has served,
set,set,set,設置,是,have/has set,
share,shared,shared,分享,否,have/has shared,
show,showed,shown/showed,展示,是,have/has shown,
shut,shut,shut,關閉,是,have/has shut,
sing,sang,sung,唱歌,是,have/has sung,
sit,sat,sat,坐,是,have/has sat,
sleep,slept,slept,睡覺,是,have/has slept,
solve,solved,solved,解決,否,have/has solved,
speak,spoke,spoken,說話,是,have/has spoken,
spend,spent,spent,花費,是,have/has spent,
spread,spread,spread,傳播,是,have/has spread,
stand,stood,stood,站立；忍受,是,have/has stood,
start,started,started,開始,否,have/has started,
stay,stayed,stayed,停留,否,have/has stayed,
steal,stole,stolen,偷,是,have/has stolen,
stop,stopped,stopped,停止,否,have/has stopped,
store,stored,stored,儲存；存放,否,have/has stored,
study,studied,studied,學習,否,have/has studied,
suggest,suggested,suggested,建議,否,have/has suggested,
support,supported,supported,支持,否,have/has supported,
take,took,taken,拿；帶；花費,是,have/has taken,
talk,talked,talked,談話,否,have/has talked,
teach,taught,taught,教,是,have/has taught,
tell,told,told,告訴,是,have/has told,
test,tested,tested,測試,否,have/has tested,
think,thought,thought,思考；認為,是,have/has thought,
throw,threw,thrown,丟；投擲,是,have/has thrown,
touch,touched,touched,觸碰,否,have/has touched,
train,trained,trained,訓練,否,have/has trained,
travel,traveled,traveled,旅行,否,have/has traveled,
treat,treated,treated,對待；治療,否,have/has treated,
trust,trusted,trusted,信任,否,have/has trusted,
try,tried,tried,嘗試,否,have/has tried,
understand,understood,understood,了解,是,have/has understood,
update,updated,updated,更新,否,have/has updated,
use,used,used,使用,否,have/has used,
value,valued,valued,重視,否,have/has valued,
visit,visited,visited,拜訪,否,have/has visited,
volunteer,volunteered,volunteered,志願服務,否,have/has volunteered,
wait,waited,waited,等待,否,have/has waited,
wake,woke,woken,醒來,是,have/has woken,
walk,walked,walked,走路,否,have/has walked,
want,wanted,wanted,想要,否,have/has wanted,
warn,warned,warned,警告,否,have/has warned,
wash,washed,washed,洗,否,have/has washed,
watch,watched,watched,觀看,否,have/has watched,
wear,wore,worn,穿；戴,是,have/has worn,
win,won,won,贏,是,have/has won,
work,worked,worked,工作；運作,否,have/has worked,
write,wrote,written,寫,是,have/has written,
