片語／固定搭配,中文意思,類型,是否熟悉,自己的例句／筆記
on time,準時,介系詞／連接片語,,
once again,再一次,固定搭配,,
one another,彼此,固定搭配,,
out of date,過時的,固定搭配,,
out of order,故障的,固定搭配,,
out of stock,缺貨,固定搭配,,
over and over,一再地,固定搭配,,
pass away,過世,動詞片語,,
pay attention to,注意,動詞片語,,
pay for,支付,動詞片語,,
play a role in,在…中扮演角色,固定搭配,,
point out,指出,動詞片語,,
prepare for,為…準備,固定搭配,,
prevent A from B,阻止A做B,固定搭配,,
provide A with B,提供A B,固定搭配,,
put away,收好,動詞片語,,
put into practice,付諸實行,動詞片語,,
put off,延後,動詞片語,,
put on,穿上；上演,動詞片語,,
put out,熄滅；發布,動詞片語,,
put up,張貼；搭建,動詞片語,,
rather than,而不是,固定搭配,,
refer to,指的是；參考,固定搭配,,
regard A as B,把A視為B,固定搭配,,
regardless of,不論；不管,固定搭配,,
rely on,依靠,固定搭配,,
responsible for,對…負責,固定搭配,,
result from,起因於,固定搭配,,
result in,導致,固定搭配,,
right away,立刻,固定搭配,,
run into,偶遇；遭遇,動詞片語,,
run out of,用完,動詞片語,,
set a goal,設定目標,動詞片語,,
set up,建立；設置,動詞片語,,
show up,出現；到場,動詞片語,,
so far,到目前為止,固定搭配,,
so that,以便；所以,固定搭配,,
sort of,有點；某種,固定搭配,,
speak of,談到,固定搭配,,
stand for,代表；支持,固定搭配,,
start with,從…開始,固定搭配,,
such as,例如,固定搭配,,
take advantage of,利用；善用,動詞片語,,
take after,像；與…相似,動詞片語,,
take care of,照顧；處理,動詞片語,,
take into account,把…考慮進去,動詞片語,,
take part in,參加,動詞片語,,
take place,發生,動詞片語,,
take responsibility for,為…負責,動詞片語,,
take turns,輪流,動詞片語,,
talk about,談論,固定搭配,,
thanks to,多虧；由於,固定搭配,,
the day after tomorrow,後天,固定搭配,,
the day before yesterday,前天,固定搭配,,
the more...the more,越…越…,固定搭配,,
the reason why,…的原因,固定搭配,,
think about,考慮,固定搭配,,
think of,想到；認為,固定搭配,,
throw away,丟掉,動詞片語,,
to begin with,首先,固定搭配,,
to one's surprise,令某人驚訝的是,固定搭配,,
too...to,太…而不能…,固定搭配,,
try on,試穿,固定搭配,,
turn down,拒絕；調低,動詞片語,,
turn off,關掉,動詞片語,,
turn on,打開,動詞片語,,
turn out,結果是；出席,動詞片語,,
turn up,出現；調高,動詞片語,,
used to,過去常常,固定搭配,,
wait for,等待,固定搭配,,
wake up,醒來,動詞片語,,
with regard to,關於,介系詞／連接片語,,
with respect to,關於；就…而言,介系詞／連接片語,,
worry about,擔心,固定搭配,,
would rather,寧願,固定搭配,,
write down,寫下,動詞片語,,
