排名,英文,語料次數,頻率層,詞性,中文,學習優先度,類型,過去式,過去分詞,不規則,筆記
176,against,660,01｜最高頻,功能字,反對；靠著,A 基礎必會,文法／連接／介系詞,—,—,—,
177,between,654,01｜最高頻,功能字,在…之間,A 基礎必會,文法／連接／介系詞,—,—,—,
178,every,650,01｜最高頻,功能字,每一個,A 基礎必會,文法／連接／介系詞,—,—,—,
179,though,650,01｜最高頻,功能字,雖然；不過,A 基礎必會,文法／連接／介系詞,—,—,—,
180,nothing,646,01｜最高頻,,,A 基礎優先,,,,,
181,emperor,639,01｜最高頻,,,A 基礎優先,,,,,
182,heard,636,01｜最高頻,,,A 基礎優先,,,,,
183,nicholas,635,01｜最高頻,,,A 基礎優先,,,,,
184,off,634,01｜最高頻,,,A 基礎優先,,,,,
185,because,630,01｜最高頻,功能字,因為,A 基礎必會,文法／連接／介系詞,—,—,—,
186,young,627,01｜最高頻,adj.,年輕的,B 中高級核心,形容詞,—,—,—,
187,bone,625,01｜最高頻,,,A 基礎優先,,,,,
188,take,616,01｜最高頻,v.,拿；帶；花費,A 基礎必會,動詞,took,taken,是,
189,disease,615,01｜最高頻,n.,疾病,A 基礎必會,名詞,—,—,—,
190,many,609,01｜最高頻,功能字,許多,A 基礎必會,文法／連接／介系詞,—,—,—,
191,always,608,01｜最高頻,adv.,總是,A 基礎必會,副詞,—,—,—,
192,napoleon,607,01｜最高頻,,,A 基礎優先,,,,,
193,saw,599,01｜最高頻,,,A 基礎優先,,,,,
194,never,593,01｜最高頻,adv.,從不,B 中高級核心,副詞,—,—,—,
195,three,584,01｜最高頻,,,A 基礎優先,,,,,
196,don,581,01｜最高頻,,,A 基礎優先,,,,,
197,skin,579,01｜最高頻,,,A 基礎優先,,,,,
198,tissue,579,01｜最高頻,,,A 基礎優先,,,,,
199,took,573,01｜最高頻,,,A 基礎優先,,,,,
200,years,571,01｜最高頻,,,A 基礎優先,,,,,
201,once,569,01｜最高頻,,,A 基礎優先,,,,,
202,look,567,01｜最高頻,n.,外表,B 中高級核心,名詞,—,—,—,
203,last,565,01｜最高頻,,,A 基礎優先,,,,,
204,united,561,01｜最高頻,,,A 基礎優先,,,,,
205,think,557,01｜最高頻,v.,思考；認為,A 基礎必會,動詞,thought,thought,是,
206,round,556,01｜最高頻,,,A 基礎優先,,,,,
207,found,549,01｜最高頻,,,A 基礎優先,,,,,
208,blood,548,01｜最高頻,n.,血,A 基礎必會,名詞,—,—,—,
209,power,548,01｜最高頻,n.,力量；權力；電力,B 中高級核心,名詞,—,—,—,
210,too,548,01｜最高頻,adv.,也；太,B 中高級核心,副詞,—,—,—,
211,met,544,01｜最高頻,,,A 基礎優先,,,,,
212,might,536,01｜最高頻,功能字,可能,A 基礎必會,文法／連接／介系詞,—,—,—,
213,father,533,01｜最高頻,,,A 基礎優先,,,,,
214,kutuzov,530,01｜最高頻,,,A 基礎優先,,,,,
215,both,529,01｜最高頻,功能字,兩者都,A 基礎必會,文法／連接／介系詞,—,—,—,
216,usually,529,01｜最高頻,adv.,通常,B 中高級核心,副詞,—,—,—,
217,small,527,01｜最高頻,adj.,小的,B 中高級核心,形容詞,—,—,—,
218,give,523,01｜最高頻,v.,給予,A 基礎必會,動詞,gave,given,是,
219,side,511,01｜最高頻,n.,側面,B 中高級核心,名詞,—,—,—,
220,form,507,01｜最高頻,v./n.,形式；表格,B 中高級核心,動詞；名詞,formed,formed,否,
221,let,506,01｜最高頻,v.,讓,A 基礎必會,動詞,let,let,是,
222,make,504,01｜最高頻,v.,製作；使,A 基礎必會,動詞,made,made,是,
223,during,503,01｜最高頻,功能字,在…期間,A 基礎必會,文法／連接／介系詞,—,—,—,
224,quite,502,01｜最高頻,adv.,相當,B 中高級核心,副詞,—,—,—,
225,turned,502,01｜最高頻,,,A 基礎優先,,,,,
226,door,498,01｜最高頻,n.,門,A 基礎必會,名詞,—,—,—,
227,countess,497,01｜最高頻,,,A 基礎優先,,,,,
228,knew,496,01｜最高頻,,,A 基礎優先,,,,,
229,suddenly,496,01｜最高頻,,,A 基礎優先,,,,,
230,tell,492,01｜最高頻,v.,告訴,A 基礎必會,動詞,told,told,是,
231,told,490,01｜最高頻,,,A 基礎優先,,,,,
232,looking,489,01｜最高頻,,,A 基礎優先,,,,,
233,whom,489,01｜最高頻,,,A 基礎優先,,,,,
234,yet,488,01｜最高頻,adv.,尚未；然而,B 中高級核心,副詞,—,—,—,
235,already,487,01｜最高頻,adv.,已經,A 基礎必會,副詞,—,—,—,
236,moment,487,01｜最高頻,n.,片刻,B 中高級核心,名詞,—,—,—,
237,love,484,01｜最高頻,n.,愛,B 中高級核心,名詞,—,—,—,
238,large,483,01｜最高頻,,,A 基礎優先,,,,,
239,get,468,01｜最高頻,v.,得到；變得,A 基礎必會,動詞,got,got/gotten,是,
240,holmes,467,01｜最高頻,,,A 基礎優先,,,,,
241,end,465,01｜最高頻,,,A 基礎優先,,,,,
242,chapter,464,01｜最高頻,,,A 基礎優先,,,,,
243,treatment,464,01｜最高頻,n.,治療；待遇,B 中高級核心,名詞,—,—,—,
244,officer,463,01｜最高頻,n.,官員；警官,B 中高級核心,名詞,—,—,—,
245,voice,462,01｜最高頻,n.,聲音；發言權,B 中高級核心,名詞,—,—,—,
246,russian,461,01｜最高頻,,,A 基礎優先,,,,,
247,words,460,01｜最高頻,,,A 基礎優先,,,,,
248,few,458,01｜最高頻,功能字,少數,A 基礎必會,文法／連接／介系詞,—,—,—,
249,hands,455,01｜最高頻,,,A 基礎優先,,,,,
250,cases,453,01｜最高頻,,,A 基礎優先,,,,,
251,days,453,01｜最高頻,,,A 基礎優先,,,,,
252,among,451,01｜最高頻,功能字,在…之中,A 基礎必會,文法／連接／介系詞,—,—,—,
253,everything,451,01｜最高頻,,,A 基礎優先,,,,,
254,called,450,01｜最高頻,,,A 基礎優先,,,,,
255,dear,449,01｜最高頻,,,A 基礎優先,,,,,
256,sonya,447,01｜最高頻,,,A 基礎優先,,,,,
257,congress,445,01｜最高頻,,,A 基礎優先,,,,,
258,seen,444,01｜最高頻,,,A 基礎優先,,,,,
259,often,443,01｜最高頻,adv.,常常,B 中高級核心,副詞,—,—,—,
260,gave,442,01｜最高頻,,,A 基礎優先,,,,,
261,battle,440,01｜最高頻,,,A 基礎優先,,,,,
262,history,439,01｜最高頻,n.,歷史,B 中高級核心,名詞,—,—,—,
263,case,438,01｜最高頻,n.,情況；案件,A 基礎必會,名詞,—,—,—,
264,taken,438,01｜最高頻,,,A 基礎優先,,,,,
265,put,435,01｜最高頻,v.,放置,A 基礎必會,動詞,put,put,是,
266,denisov,432,01｜最高頻,,,A 基礎優先,,,,,
267,law,432,01｜最高頻,n.,法律,B 中高級核心,名詞,—,—,—,
268,position,432,01｜最高頻,n.,位置；職位；立場,B 中高級核心,名詞,—,—,—,
269,however,430,01｜最高頻,adv.,然而,A 基礎必會,副詞,—,—,—,
270,done,428,01｜最高頻,,,A 基礎優先,,,,,
271,ll,427,01｜最高頻,,,A 基礎優先,,,,,
272,smile,426,01｜最高頻,,,A 基礎優先,,,,,
273,sometimes,425,01｜最高頻,adv.,有時候,B 中高級核心,副詞,—,—,—,
274,country,423,01｜最高頻,,,A 基礎優先,,,,,
275,free,421,01｜最高頻,adj.,自由的；免費的,A 基礎必會,形容詞,—,—,—,
276,soon,421,01｜最高頻,adv.,很快；不久,B 中高級核心,副詞,—,—,—,
277,understand,412,01｜最高頻,v.,了解,A 基礎必會,動詞,understood,understood,是,
278,each,411,01｜最高頻,功能字,每一個,A 基礎必會,文法／連接／介系詞,—,—,—,
279,known,411,01｜最高頻,,,A 基礎優先,,,,,
280,soldiers,411,01｜最高頻,,,A 基礎優先,,,,,
281,oh,410,01｜最高頻,,,A 基礎優先,,,,,
282,others,410,01｜最高頻,,,A 基礎優先,,,,,
283,become,409,01｜最高頻,v.,變成,A 基礎必會,動詞,became,become,是,
284,far,408,01｜最高頻,adv.,遠地,A 基礎必會,副詞,—,—,—,
285,brought,406,01｜最高頻,,,A 基礎優先,,,,,
286,along,404,01｜最高頻,,,A 基礎優先,,,,,
287,order,404,01｜最高頻,n.,順序；訂單；命令,B 中高級核心,名詞,—,—,—,
288,especially,403,01｜最高頻,adv.,尤其,A 基礎必會,副詞,—,—,—,
289,sat,403,01｜最高頻,,,A 基礎優先,,,,,
290,behind,401,01｜最高頻,,,A 基礎優先,,,,,
291,women,390,01｜最高頻,,,A 基礎優先,,,,,
292,course,389,01｜最高頻,n.,課程；路線,A 基礎必會,名詞,—,—,—,
293,result,386,01｜最高頻,n.,結果,B 中高級核心,名詞,—,—,—,
294,night,385,01｜最高頻,n.,夜晚,B 中高級核心,名詞,—,—,—,
295,patient,383,01｜最高頻,n.,病人,B 中高級核心,名詞,—,—,—,
296,stood,383,01｜最高頻,,,A 基礎優先,,,,,
297,joint,382,01｜最高頻,,,A 基礎優先,,,,,
298,work,382,01｜最高頻,v.,工作；運作,A 基礎必會,動詞,worked,worked,否,
299,anything,379,01｜最高頻,,,A 基礎優先,,,,,
300,cause,376,01｜最高頻,v.,造成,A 基礎必會,動詞,caused,caused,否,
301,going,376,01｜最高頻,,,A 基礎優先,,,,,
302,evidently,374,01｜最高頻,,,A 基礎優先,,,,,
303,several,373,01｜最高頻,功能字,幾個,A 基礎必會,文法／連接／介系詞,—,—,—,
304,president,371,01｜最高頻,n.,總統；總裁,B 中高級核心,名詞,—,—,—,
305,less,367,01｜最高頻,,,A 基礎優先,,,,,
306,passed,367,01｜最高頻,,,A 基礎優先,,,,,
307,wife,367,01｜最高頻,n.,妻子,B 中高級核心,名詞,—,—,—,
308,infection,366,01｜最高頻,,,A 基礎優先,,,,,
309,matter,365,01｜最高頻,n.,事情；物質,B 中高級核心,名詞,—,—,—,
310,given,364,01｜最高頻,,,A 基礎優先,,,,,
311,god,363,01｜最高頻,,,A 基礎優先,,,,,
312,feeling,362,01｜最高頻,n.,感覺；情緒,A 基礎必會,名詞,—,—,—,
313,world,362,01｜最高頻,n.,世界,B 中高級核心,名詞,—,—,—,
314,certain,361,01｜最高頻,adj.,確定的,A 基礎必會,形容詞,—,—,—,
315,mr,360,01｜最高頻,,,A 基礎優先,,,,,
316,chief,359,01｜最高頻,,,A 基礎優先,,,,,
317,front,359,01｜最高頻,n.,前面,A 基礎必會,名詞,—,—,—,
318,does,358,01｜最高頻,,,A 基礎優先,,,,,
319,action,357,01｜最高頻,n.,行動；動作,A 基礎必會,名詞,—,—,—,
320,whether,357,01｜最高頻,功能字,是否,A 基礎必會,文法／連接／介系詞,—,—,—,
321,white,353,01｜最高頻,adj.,白色的,B 中高級核心,形容詞,—,—,—,
322,question,348,01｜最高頻,n.,問題,B 中高級核心,名詞,—,—,—,
323,movement,347,01｜最高頻,,,A 基礎優先,,,,,
324,condition,346,01｜最高頻,n.,狀況；條件,A 基礎必會,名詞,—,—,—,
325,son,343,01｜最高頻,,,A 基礎優先,,,,,
326,herself,341,01｜最高頻,,,A 基礎優先,,,,,
327,mind,341,01｜最高頻,n.,心智,B 中高級核心,名詞,—,—,—,
328,possible,339,01｜最高頻,adj.,可能的,B 中高級核心,形容詞,—,—,—,
329,alone,337,01｜最高頻,adv.,獨自地,A 基礎必會,副詞,—,—,—,
330,body,337,01｜最高頻,n.,身體；主體,A 基礎必會,名詞,—,—,—,
331,morning,337,01｜最高頻,n.,早上,B 中高級核心,名詞,—,—,—,
332,horse,334,01｜最高頻,,,A 基礎優先,,,,,
333,later,334,01｜最高頻,adv.,之後,B 中高級核心,副詞,—,—,—,
334,toward,331,01｜最高頻,功能字,朝向,A 基礎必會,文法／連接／介系詞,—,—,—,
335,death,330,01｜最高頻,n.,死亡,A 基礎必會,名詞,—,—,—,
336,dolokhov,329,01｜最高頻,,,A 基礎優先,,,,,
337,followed,329,01｜最高頻,,,A 基礎優先,,,,,
338,present,329,01｜最高頻,,,A 基礎優先,,,,,
339,labor,328,01｜最高頻,,,A 基礎優先,,,,,
340,necessary,327,01｜最高頻,adj.,必要的,B 中高級核心,形容詞,—,—,—,
341,money,326,01｜最高頻,n.,錢,B 中高級核心,名詞,—,—,—,
342,almost,325,01｜最高頻,adv.,幾乎,A 基礎必會,副詞,—,—,—,
343,open,325,01｜最高頻,v./adj.,開著的,A 基礎必會,動詞；形容詞,opened,opened,否,
344,set,325,01｜最高頻,v.,設置,A 基礎必會,動詞,set,set,是,
345,until,325,01｜最高頻,功能字,直到,A 基礎必會,文法／連接／介系詞,—,—,—,
346,woman,325,01｜最高頻,n.,女人,B 中高級核心,名詞,—,—,—,
347,nerve,324,01｜最高頻,,,A 基礎優先,,,,,
348,want,323,01｜最高頻,v.,想要,A 基礎必會,動詞,wanted,wanted,否,
349,ran,322,01｜最高頻,,,A 基礎優先,,,,,
350,act,321,01｜最高頻,v.,行動；表演,A 基礎必會,動詞,acted,acted,否,
351,expression,321,01｜最高頻,n.,表達；表情,A 基礎必會,名詞,—,—,—,
352,things,321,01｜最高頻,,,A 基礎優先,,,,,
353,fig,320,01｜最高頻,,,A 基礎優先,,,,,
354,replied,320,01｜最高頻,,,A 基礎優先,,,,,
355,use,320,01｜最高頻,v.,使用,A 基礎必會,動詞,used,used,否,
