單字,詞性,中文意思,優先度,類型,過去式,過去分詞 p.p.,不規則,筆記
assume,v.,假設,B 中高級核心,動詞,assumed,assumed,否,
at,功能字,在；於,A 基礎必會,文法／連接／介系詞,—,—,—,
athlete,n.,運動員,A 基礎必會,名詞,—,—,—,
atmosphere,n.,氣氛；大氣,A 基礎必會,名詞,—,—,—,
attach,v.,附上；連接,B 中高級核心,動詞,attached,attached,否,
attempt,v.,嘗試,B 中高級核心,動詞,attempted,attempted,否,
attention,n.,注意,A 基礎必會,名詞,—,—,—,
attitude,n.,態度,A 基礎必會,名詞,—,—,—,
attract,v.,吸引,B 中高級核心,動詞,attracted,attracted,否,
attraction,n.,景點；吸引力,A 基礎必會,名詞,—,—,—,
attractive,adj.,吸引人的,A 基礎必會,形容詞,—,—,—,
audience,n.,觀眾；聽眾,A 基礎必會,名詞,—,—,—,
author,n.,作者,A 基礎必會,名詞,—,—,—,
authority,n.,當局；權威,A 基礎必會,名詞,—,—,—,
automatic,adj.,自動的,A 基礎必會,形容詞,—,—,—,
available,adj.,可取得的；有空的,A 基礎必會,形容詞,—,—,—,
average,n./adj.,平均的,A 基礎必會,名詞；形容詞,—,—,—,
avoid,v.,避免,A 基礎必會,動詞,avoided,avoided,否,
aware,adj.,知道的；有意識的,A 基礎必會,形容詞,—,—,—,
away,adv.,離開；在遠處,A 基礎必會,副詞,—,—,—,
baby,n.,嬰兒,A 基礎必會,名詞,—,—,—,
back,adv.,回去,A 基礎必會,副詞,—,—,—,
background,n.,背景,A 基礎必會,名詞,—,—,—,
bad,adj.,壞的,A 基礎必會,形容詞,—,—,—,
bag,n.,袋子,A 基礎必會,名詞,—,—,—,
balance,n.,平衡,A 基礎必會,名詞,—,—,—,
ball,n.,球,A 基礎必會,名詞,—,—,—,
bank,n.,銀行；河岸,A 基礎必會,名詞,—,—,—,
bar,n.,酒吧；條；障礙,A 基礎必會,名詞,—,—,—,
base,n.,基礎,A 基礎必會,名詞,—,—,—,
basic,adj.,基本的,A 基礎必會,形容詞,—,—,—,
basis,n.,根據；基礎,A 基礎必會,名詞,—,—,—,
basket,n.,籃子,A 基礎必會,名詞,—,—,—,
bath,n.,洗澡；浴缸,A 基礎必會,名詞,—,—,—,
bathroom,n.,浴室,A 基礎必會,名詞,—,—,—,
battery,n.,電池,A 基礎必會,名詞,—,—,—,
be,v.,是；存在,A 基礎必會,動詞,was/were,been,是,
beach,n.,海灘,A 基礎必會,名詞,—,—,—,
beat,v.,打敗；敲打,A 基礎必會,動詞,beat,beaten,是,
beautiful,adj.,美麗的,A 基礎必會,形容詞,—,—,—,
beauty,n.,美；美人,A 基礎必會,名詞,—,—,—,
because,功能字,因為,A 基礎必會,文法／連接／介系詞,—,—,—,
become,v.,變成,A 基礎必會,動詞,became,become,是,
bed,n.,床,A 基礎必會,名詞,—,—,—,
bedroom,n.,臥室,A 基礎必會,名詞,—,—,—,
before,功能字,在…以前,A 基礎必會,文法／連接／介系詞,—,—,—,
begin,v.,開始,A 基礎必會,動詞,began,begun,是,
behavior,n.,行為,A 基礎必會,名詞,—,—,—,
believe,v.,相信,A 基礎必會,動詞,believed,believed,否,
belong,v.,屬於,A 基礎必會,動詞,belonged,belonged,否,
below,功能字,在…下方,A 基礎必會,文法／連接／介系詞,—,—,—,
bend,v.,彎曲,A 基礎必會,動詞,bent,bent,是,
benefit,n.,好處；利益,A 基礎必會,名詞,—,—,—,
beside,功能字,在…旁邊,A 基礎必會,文法／連接／介系詞,—,—,—,
besides,功能字,除了；此外,A 基礎必會,文法／連接／介系詞,—,—,—,
best,adj.,最好的,A 基礎必會,形容詞,—,—,—,
better,adj.,更好的,A 基礎必會,形容詞,—,—,—,
between,功能字,在…之間,A 基礎必會,文法／連接／介系詞,—,—,—,
beyond,功能字,超過；在…之外,A 基礎必會,文法／連接／介系詞,—,—,—,
bicycle,n.,腳踏車,A 基礎必會,名詞,—,—,—,
big,adj.,大的,A 基礎必會,形容詞,—,—,—,
bill,n.,帳單；法案；鈔票,A 基礎必會,名詞,—,—,—,
biology,n.,生物學,A 基礎必會,名詞,—,—,—,
bird,n.,鳥,A 基礎必會,名詞,—,—,—,
birth,n.,出生,A 基礎必會,名詞,—,—,—,
birthday,n.,生日,A 基礎必會,名詞,—,—,—,
bit,n.,一點；小片,A 基礎必會,名詞,—,—,—,
bite,v.,咬,A 基礎必會,動詞,bit,bitten,是,
black,adj.,黑色的,A 基礎必會,形容詞,—,—,—,
blind,adj.,失明的；盲目的,A 基礎必會,形容詞,—,—,—,
blood,n.,血,A 基礎必會,名詞,—,—,—,
blow,v.,吹,A 基礎必會,動詞,blew,blown,是,
blue,adj.,藍色的,A 基礎必會,形容詞,—,—,—,
board,n.,板子；董事會,A 基礎必會,名詞,—,—,—,
boat,n.,船,A 基礎必會,名詞,—,—,—,
body,n.,身體；主體,A 基礎必會,名詞,—,—,—,
book,n.,書,A 基礎必會,名詞,—,—,—,
border,n.,邊界,A 基礎必會,名詞,—,—,—,
born,adj.,出生的,A 基礎必會,形容詞,—,—,—,
borrow,v.,借入,A 基礎必會,動詞,borrowed,borrowed,否,
boss,n.,老闆,A 基礎必會,名詞,—,—,—,
both,功能字,兩者都,A 基礎必會,文法／連接／介系詞,—,—,—,
bottle,n.,瓶子,A 基礎必會,名詞,—,—,—,
bottom,n.,底部,A 基礎必會,名詞,—,—,—,
box,n.,盒子,A 基礎必會,名詞,—,—,—,
boy,n.,男孩,A 基礎必會,名詞,—,—,—,
brain,n.,大腦,A 基礎必會,名詞,—,—,—,
branch,n.,樹枝；分店；分支,A 基礎必會,名詞,—,—,—,
brand,n.,品牌,A 基礎必會,名詞,—,—,—,
break,v.,打破；休息,A 基礎必會,動詞,broke,broken,是,
breakfast,n.,早餐,A 基礎必會,名詞,—,—,—,
bridge,n.,橋,A 基礎必會,名詞,—,—,—,
brief,adj.,簡短的,A 基礎必會,形容詞,—,—,—,
bright,adj.,明亮的；聰明的,A 基礎必會,形容詞,—,—,—,
bring,v.,帶來,A 基礎必會,動詞,brought,brought,是,
broad,adj.,寬廣的；廣泛的,A 基礎必會,形容詞,—,—,—,
brother,n.,兄弟,A 基礎必會,名詞,—,—,—,
brown,adj.,棕色的,A 基礎必會,形容詞,—,—,—,
budget,n.,預算,A 基礎必會,名詞,—,—,—,
build,v.,建造,A 基礎必會,動詞,built,built,是,
building,n.,建築物,A 基礎必會,名詞,—,—,—,
burn,v.,燃燒,A 基礎必會,動詞,burned/burnt,burned/burnt,是,
bus,n.,公車,A 基礎必會,名詞,—,—,—,
business,n.,生意；企業,A 基礎必會,名詞,—,—,—,
busy,adj.,忙碌的,A 基礎必會,形容詞,—,—,—,
but,功能字,但是,A 基礎必會,文法／連接／介系詞,—,—,—,
buy,v.,購買,A 基礎必會,動詞,bought,bought,是,
by,功能字,由；藉由；在…以前,A 基礎必會,文法／連接／介系詞,—,—,—,
cake,n.,蛋糕,A 基礎必會,名詞,—,—,—,
calculate,v.,計算,B 中高級核心,動詞,calculated,calculated,否,
call,v.,打電話；稱呼,A 基礎必會,動詞,called,called,否,
camera,n.,相機,A 基礎必會,名詞,—,—,—,
campaign,n.,活動；競選,A 基礎必會,名詞,—,—,—,
can,功能字,能；可以,A 基礎必會,文法／連接／介系詞,—,—,—,
cancel,v.,取消,B 中高級核心,動詞,canceled,canceled,否,
candidate,n.,候選人；求職者,A 基礎必會,名詞,—,—,—,
capital,n.,首都；資本,A 基礎必會,名詞,—,—,—,
car,n.,汽車,A 基礎必會,名詞,—,—,—,
card,n.,卡片,A 基礎必會,名詞,—,—,—,
care,n.,照顧；關心,A 基礎必會,名詞,—,—,—,
career,n.,職涯,A 基礎必會,名詞,—,—,—,
careful,adj.,小心的,A 基礎必會,形容詞,—,—,—,
carefully,adv.,小心地,A 基礎必會,副詞,—,—,—,
carry,v.,攜帶,A 基礎必會,動詞,carried,carried,否,
case,n.,情況；案件,A 基礎必會,名詞,—,—,—,
cash,n.,現金,A 基礎必會,名詞,—,—,—,
cat,n.,貓,A 基礎必會,名詞,—,—,—,
catch,v.,抓住；趕上,A 基礎必會,動詞,caught,caught,是,
category,n.,類別,A 基礎必會,名詞,—,—,—,
cause,v.,造成,A 基礎必會,動詞,caused,caused,否,
celebrate,v.,慶祝,B 中高級核心,動詞,celebrated,celebrated,否,
celebration,n.,慶祝,A 基礎必會,名詞,—,—,—,
cell,n.,細胞；小室,A 基礎必會,名詞,—,—,—,
center,n.,中心,A 基礎必會,名詞,—,—,—,
central,adj.,中央的,A 基礎必會,形容詞,—,—,—,
century,n.,世紀,A 基礎必會,名詞,—,—,—,
certain,adj.,確定的,A 基礎必會,形容詞,—,—,—,
certainly,adv.,當然；確定地,A 基礎必會,副詞,—,—,—,
chain,n.,鏈條,A 基礎必會,名詞,—,—,—,
chair,n.,椅子；主席,A 基礎必會,名詞,—,—,—,
challenge,n.,挑戰,A 基礎必會,名詞,—,—,—,
chance,n.,機會；可能性,A 基礎必會,名詞,—,—,—,
change,v.,改變,A 基礎必會,動詞,changed,changed,否,
channel,n.,頻道；管道,A 基礎必會,名詞,—,—,—,
character,n.,角色；性格,A 基礎必會,名詞,—,—,—,
characteristic,n.,特徵,A 基礎必會,名詞,—,—,—,
charge,n.,費用；指控,A 基礎必會,名詞,—,—,—,
cheap,adj.,便宜的,A 基礎必會,形容詞,—,—,—,
chemical,adj.,化學的,A 基礎必會,形容詞,—,—,—,
chemistry,n.,化學,A 基礎必會,名詞,—,—,—,
child,n.,小孩,A 基礎必會,名詞,—,—,—,
choice,n.,選擇,A 基礎必會,名詞,—,—,—,
choose,v.,選擇,A 基礎必會,動詞,chose,chosen,是,
church,n.,教堂,A 基礎必會,名詞,—,—,—,
circle,n.,圓,A 基礎必會,名詞,—,—,—,
circumstance,n.,情況；環境,A 基礎必會,名詞,—,—,—,
citizen,n.,公民,A 基礎必會,名詞,—,—,—,
city,n.,城市,A 基礎必會,名詞,—,—,—,
civil,adj.,公民的；民事的,A 基礎必會,形容詞,—,—,—,
class,n.,課；班級,A 基礎必會,名詞,—,—,—,
classic,adj.,經典的,A 基礎必會,形容詞,—,—,—,
classroom,n.,教室,A 基礎必會,名詞,—,—,—,
clean,adj.,乾淨的,A 基礎必會,形容詞,—,—,—,
clear,adj.,清楚的,A 基礎必會,形容詞,—,—,—,
clearly,adv.,清楚地,A 基礎必會,副詞,—,—,—,
climate,n.,氣候,A 基礎必會,名詞,—,—,—,
clock,n.,時鐘,A 基礎必會,名詞,—,—,—,
clothes,n.,衣服,A 基礎必會,名詞,—,—,—,
cloud,n.,雲,A 基礎必會,名詞,—,—,—,
club,n.,俱樂部；社團,A 基礎必會,名詞,—,—,—,
coach,n.,教練,A 基礎必會,名詞,—,—,—,
coast,n.,海岸,A 基礎必會,名詞,—,—,—,
coffee,n.,咖啡,A 基礎必會,名詞,—,—,—,
cold,n./adj.,感冒,A 基礎必會,名詞；形容詞,—,—,—,
collection,n.,收藏；集合,A 基礎必會,名詞,—,—,—,
college,n.,大學；學院,A 基礎必會,名詞,—,—,—,
color,n.,顏色,A 基礎必會,名詞,—,—,—,
combine,v.,結合,B 中高級核心,動詞,combined,combined,否,
come,v.,來,A 基礎必會,動詞,came,come,是,
comfortable,adj.,舒適的,A 基礎必會,形容詞,—,—,—,
command,n.,命令,A 基礎必會,名詞,—,—,—,
comment,n.,評論,A 基礎必會,名詞,—,—,—,
commercial,adj.,商業的,A 基礎必會,形容詞,—,—,—,
commitment,n.,承諾；投入,A 基礎必會,名詞,—,—,—,
committee,n.,委員會,A 基礎必會,名詞,—,—,—,
common,adj.,常見的,A 基礎必會,形容詞,—,—,—,
communicate,v.,溝通,B 中高級核心,動詞,communicated,communicated,否,
communication,n.,溝通；通訊,A 基礎必會,名詞,—,—,—,
community,n.,社區；群體,A 基礎必會,名詞,—,—,—,
company,n.,公司,A 基礎必會,名詞,—,—,—,
compare,v.,比較,A 基礎必會,動詞,compared,compared,否,
comparison,n.,比較,A 基礎必會,名詞,—,—,—,
competition,n.,競爭；比賽,A 基礎必會,名詞,—,—,—,
competitive,adj.,有競爭力的；競爭激烈的,A 基礎必會,形容詞,—,—,—,
complain,v.,抱怨,B 中高級核心,動詞,complained,complained,否,
complete,v./adj.,完整的,A 基礎必會,動詞；形容詞,completed,completed,否,
completely,adv.,完全地,A 基礎必會,副詞,—,—,—,
complex,adj.,複雜的,A 基礎必會,形容詞,—,—,—,
computer,n.,電腦,A 基礎必會,名詞,—,—,—,
concentrate,v.,專心；集中,B 中高級核心,動詞,concentrated,concentrated,否,
concentration,n.,專心；濃度,A 基礎必會,名詞,—,—,—,
concept,n.,概念,A 基礎必會,名詞,—,—,—,
concern,n.,關心；擔憂,A 基礎必會,名詞,—,—,—,
concerned,adj.,擔心的；相關的,A 基礎必會,形容詞,—,—,—,
condition,n.,狀況；條件,A 基礎必會,名詞,—,—,—,
conduct,v.,進行；引導,B 中高級核心,動詞,conducted,conducted,否,
conference,n.,會議,A 基礎必會,名詞,—,—,—,
confidence,n.,信心,A 基礎必會,名詞,—,—,—,
confident,adj.,有信心的,A 基礎必會,形容詞,—,—,—,
confirm,v.,確認,B 中高級核心,動詞,confirmed,confirmed,否,
conflict,n.,衝突,A 基礎必會,名詞,—,—,—,
connect,v.,連接,B 中高級核心,動詞,connected,connected,否,
connection,n.,連線；關聯,A 基礎必會,名詞,—,—,—,
consequence,n.,後果,A 基礎必會,名詞,—,—,—,
consider,v.,考慮；認為,A 基礎必會,動詞,considered,considered,否,
construct,v.,建造；構成,B 中高級核心,動詞,constructed,constructed,否,
construction,n.,建設；構造,A 基礎必會,名詞,—,—,—,
contact,v./n.,聯絡,B 中高級核心,動詞；名詞,contacted,contacted,否,
contain,v.,包含；容納,B 中高級核心,動詞,contained,contained,否,
content,n.,內容,A 基礎必會,名詞,—,—,—,
context,n.,上下文；情境,A 基礎必會,名詞,—,—,—,
continue,v.,繼續,A 基礎必會,動詞,continued,continued,否,
contract,v./n.,縮小；感染,B 中高級核心,動詞；名詞,contracted,contracted,否,
contribute,v.,貢獻,B 中高級核心,動詞,contributed,contributed,否,
contribution,n.,貢獻,A 基礎必會,名詞,—,—,—,
control,v.,控制,A 基礎必會,動詞,controled,controled,否,
convenient,adj.,方便的,A 基礎必會,形容詞,—,—,—,
conversation,n.,對話,A 基礎必會,名詞,—,—,—,
convince,v.,說服,B 中高級核心,動詞,convinced,convinced,否,
cookie,n.,餅乾,A 基礎必會,名詞,—,—,—,
cool,adj.,涼的；酷的,A 基礎必會,形容詞,—,—,—,
corner,n.,角落,A 基礎必會,名詞,—,—,—,
correct,adj.,正確的,A 基礎必會,形容詞,—,—,—,
cost,v.,花費,A 基礎必會,動詞,cost,cost,是,
could,功能字,能夠；可能,A 基礎必會,文法／連接／介系詞,—,—,—,
couple,n.,一對；幾個,A 基礎必會,名詞,—,—,—,
course,n.,課程；路線,A 基礎必會,名詞,—,—,—,
court,n.,法院；球場,A 基礎必會,名詞,—,—,—,
create,v.,創造,A 基礎必會,動詞,created,created,否,
creative,adj.,有創意的,A 基礎必會,形容詞,—,—,—,
credit,n.,信用；學分,A 基礎必會,名詞,—,—,—,
crime,n.,犯罪,A 基礎必會,名詞,—,—,—,
critical,adj.,關鍵的；批判性的,A 基礎必會,形容詞,—,—,—,
crowd,n.,人群,A 基礎必會,名詞,—,—,—,
culture,n.,文化,A 基礎必會,名詞,—,—,—,
cup,n.,杯子,A 基礎必會,名詞,—,—,—,
current,adj./adv.,目前的,A 基礎必會,形容詞；副詞,—,—,—,
customer,n.,顧客,A 基礎必會,名詞,—,—,—,
cut,v.,切,A 基礎必會,動詞,cut,cut,是,
daily,adj./adv.,每日的,A 基礎必會,形容詞；副詞,—,—,—,
damage,n.,損害,A 基礎必會,名詞,—,—,—,
dangerous,adj.,危險的,A 基礎必會,形容詞,—,—,—,
dark,adj.,黑暗的,A 基礎必會,形容詞,—,—,—,
data,n.,資料,A 基礎必會,名詞,—,—,—,
date,n.,日期；約會,A 基礎必會,名詞,—,—,—,
daughter,n.,女兒,A 基礎必會,名詞,—,—,—,
day,n.,天,A 基礎必會,名詞,—,—,—,
dead,adj.,死的,A 基礎必會,形容詞,—,—,—,
deal,v.,處理；交易,A 基礎必會,動詞,dealt,dealt,是,
death,n.,死亡,A 基礎必會,名詞,—,—,—,
debate,v./n.,辯論,B 中高級核心,動詞；名詞,debated,debated,否,
decade,n.,十年,A 基礎必會,名詞,—,—,—,
decide,v.,決定,A 基礎必會,動詞,decided,decided,否,
decision,n.,決定,A 基礎必會,名詞,—,—,—,
decline,v.,下降；拒絕,B 中高級核心,動詞,declined,declined,否,
decrease,v.,減少,B 中高級核心,動詞,decreased,decreased,否,
deep,adj.,深的,A 基礎必會,形容詞,—,—,—,
degree,n.,程度；學位,A 基礎必會,名詞,—,—,—,
delay,n.,延遲,A 基礎必會,名詞,—,—,—,
deliver,v.,遞送；發表,B 中高級核心,動詞,delivered,delivered,否,
demand,v./n.,需求；要求,B 中高級核心,動詞；名詞,demanded,demanded,否,
depend,v.,依靠；取決於,B 中高級核心,動詞,depended,depended,否,
describe,v.,描述,A 基礎必會,動詞,described,described,否,
description,n.,描述,A 基礎必會,名詞,—,—,—,
design,v./n.,設計,B 中高級核心,動詞；名詞,designed,designed,否,
desire,v./n.,渴望,B 中高級核心,動詞；名詞,desired,desired,否,
desk,n.,書桌,A 基礎必會,名詞,—,—,—,
despite,功能字,儘管,A 基礎必會,文法／連接／介系詞,—,—,—,
detail,n.,細節,A 基礎必會,名詞,—,—,—,
determine,v.,決定；確定,B 中高級核心,動詞,determined,determined,否,
develop,v.,發展,A 基礎必會,動詞,developed,developed,否,
development,n.,發展,A 基礎必會,名詞,—,—,—,
device,n.,裝置,A 基礎必會,名詞,—,—,—,
die,v.,死亡,A 基礎必會,動詞,died,died,否,
diet,n.,飲食,A 基礎必會,名詞,—,—,—,
difference,n.,差異,A 基礎必會,名詞,—,—,—,
different,adj.,不同的,A 基礎必會,形容詞,—,—,—,
difficult,adj.,困難的,A 基礎必會,形容詞,—,—,—,
difficulty,n.,困難,A 基礎必會,名詞,—,—,—,
digital,adj.,數位的,A 基礎必會,形容詞,—,—,—,
dinner,n.,晚餐,A 基礎必會,名詞,—,—,—,
direct,adj.,直接的,A 基礎必會,形容詞,—,—,—,
direction,n.,方向；指示,A 基礎必會,名詞,—,—,—,
directly,adv.,直接地,A 基礎必會,副詞,—,—,—,
director,n.,主管；導演,A 基礎必會,名詞,—,—,—,
discover,v.,發現,A 基礎必會,動詞,discovered,discovered,否,
discuss,v.,討論,A 基礎必會,動詞,discussed,discussed,否,
disease,n.,疾病,A 基礎必會,名詞,—,—,—,
distance,n.,距離,A 基礎必會,名詞,—,—,—,
district,n.,地區,A 基礎必會,名詞,—,—,—,
divide,v.,分開；除以,B 中高級核心,動詞,divided,divided,否,
do,v.,做,A 基礎必會,動詞,did,done,是,
doctor,n.,醫生,A 基礎必會,名詞,—,—,—,
document,n.,文件,A 基礎必會,名詞,—,—,—,
dog,n.,狗,A 基礎必會,名詞,—,—,—,
door,n.,門,A 基礎必會,名詞,—,—,—,
doubt,n.,懷疑,A 基礎必會,名詞,—,—,—,
down,adv.,向下,A 基礎必會,副詞,—,—,—,
download,v.,下載,B 中高級核心,動詞,downloaded,downloaded,否,
draw,v.,畫；拉,A 基礎必會,動詞,drew,drawn,是,
